title,rating,num_ratings,tags,actors
工作细胞 第二季,9.7,18000,[漫画改|搞笑|战斗|日常],[花泽香菜|前野智昭|小野大辅|井上喜久子|长绳麻理亚|石见舞菜香|甲斐田裕子|中村悠一|千叶翔也|川澄绫子|行成桃姬|冈本信彦|樱井孝宏|早见沙织|小林裕介|吉田有里|高桥李依|藤原夏海|久保由利香|石田彰|能登麻美子]
工作细胞,9.7,75000,[声控|战斗|漫画改|搞笑],[花泽香菜|前野智昭|小野大辅|井上喜久子|长绳麻理亚|樱井孝宏|早见沙织|冈本信彦|M·A·O|中村悠一|川澄绫子|远藤绫|吉野裕行]
辉夜大小姐想让我告白～天才们的恋爱头脑战～,9.8,237000,[恋爱|智斗|校园|搞笑],[古贺葵|古川慎|小原好美|铃木崚汰|花守由美里|青山穣]
紫罗兰永恒花园 剧场版 ,9.9,74000,[动画|奇幻|爱情|剧情],[石川由依|浪川大辅|子安武人|木内秀信|户松遥|内山昂辉|远藤绫|茅原实里|水桥香织|佐藤利奈|松元惠|诸星堇|中田让治|间宫康弘|宫本充|筱原惠美|京田尚子|引坂理绘|川澄绫子|远藤大智|MayunoYasokawa|薇尔莉特|配音|叶知秋|基尔伯特|配音|阿杰|霍金斯|配音|宝木中阳|迪特福利特|配音|瞳音|爱丽丝|配音|常蓉珊|贝内迪克特|配音|李兰陵|嘉德丽雅|配音|小连杀|艾丽卡|配音|沈念如|尤里斯|配音|杨凝|琉卡|配音|幽舞越山|尤里斯父亲|配音|图特哈蒙|尤里斯母亲|配音|刘芊含|西昂|配音|祁柒|基尔伯特父亲|配音|张遥函|老人|配音|高增志|市长|配音|叶保华|市长夫人|配音|伍凤春|黛西|配音|闫夜桥|黛西父亲|配音|汤水雨|黛西母亲|配音|谷子|黑特|晏积瑄|少年基尔伯特|配音|常蓉珊|少年迪特福利特|配音|刘明月|莉莉安|配音|周童|沈念如|藤新|姜英俊、戈昕宇、韩佳影、莫宇微|藤韵文化|藤新、常蓉珊|杜小星|赵朋飞]
刀剑神域进击篇：无星之夜,9.6,3600,[动画|冒险|奇幻],[松冈祯丞|户松遥|水濑祈|平田广明|安元洋贵|日高里菜|桧山修之|关智一]
JOJO的奇妙冒险 石之海,9.8,102000,[漫画改|热血|战斗|奇幻],[菲鲁兹·蓝|田村睦心|伊濑茉莉也|种崎敦美|梅原裕一郎|浪川大辅|小野大辅]
Re：从零开始的异世界生活 第二季 前半,9.7,124000,[小说改|穿越|奇幻|冒险],[小林裕介|高桥李依|内山夕实|水濑祈|村川梨衣|新井里美|子安武人|冈本信彦|天崎滉平|名冢佳织|高野麻里佳|田中爱美|能登麻美子|坂本真绫]
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,9.8,216000,[恋爱|漫画改|搞笑|校园],[古贺葵|古川慎|小原好美|铃木崚汰|富田美忧|花守由美里|麻仓桃|日高里菜|八代拓|青山穰]
关于我转生变成史莱姆这档事,9.4,121000,[小说改|奇幻|战斗|魔法],[冈咲美保|丰口惠美|前野智昭|花守由美里|小林亲弘|古川慎|千本木彩花|M・A・O|江口拓也|大塚芳忠|寺岛拓笃|花守由美里|山本兼平|石谷春贵|泊明日菜|斧敦|田中理惠|熊田茜音|高梨谦吾|日高里菜]
埃罗芒阿老师,9.3,72000,[小说改|搞笑|恋爱],[松岡禎丞|藤田茜|高橋未奈美|大西沙織|木戸衣吹|石川由依]
鬼灭之刃 中配版,9.1,17000,[漫画改|热血|战斗|励志],[星潮|沈念如|李兰陵|皇贞季|赵毅|李璐|陈张太康|闫夜桥|姜广涛|齐斯伽|杨天翔|沈念如|马正阳|龟娘|图特哈蒙|陈张太康|郝祥海|夏磊|山新|胡霖|林帽帽|叶知秋|彭尧|阎么么|刘明月]
鬼灭之刃 游郭篇 中配版,9.0,204,[漫画改|热血|战斗|奇幻],[星潮|沈念如|李兰陵|皇贞季|杨天翔|洪海天|刘照坤]
欢迎来到实力至上主义的教室,8.9,84000,[小说改|校园],[鬼头明里|千叶翔也|M・A・O|久保ユリカ|东山奈央|水中雅章|若山晃久|小松未可子|小原好美]
夏目友人帐 第七季,9.9,4961,[奇幻|漫画改|日常],[神谷浩史|井上和彦|小林沙苗|石田彰|堀江一真|木村良平|菅沼久义|泽城美雪|佐藤利奈|伊藤美纪|伊藤荣次|诹访部顺一]
因为太怕痛就全点防御力了 第二季,9.3,7269,[小说改|战斗|搞笑|奇幻],[本渡枫|野口瑠璃子|早见沙织|新井里美|加隈亚衣|诹访奈奈香|杉山纪彰|佐藤聪美|小野贤章|山崎巧|竹达彩奈|神奈延年|佐藤利奈|山口胜平|石田彰|皆口裕子|丹下樱]
OVERLORD,9.6,56000,[奇幻|战斗|小说改|架空],[日野聪|原由实|上坂堇|加藤英美里|内山夕实|加藤将之|三宅健太|千叶繁|沼仓爱美]
因为太怕痛就全点防御力了,9.0,156000,[架空|小说改|穿越|奇幻],[本渡枫|野口瑠璃子|早见沙织|新井里美|加隈亚衣|诹访奈奈香|杉山纪彰|佐藤聪美]
Re：从零开始的异世界生活 新编集版,9.6,47000,[架空|小说改|穿越|奇幻],[小林裕介|高桥李依|内山夕实|赤崎千夏|水濑祈|村川梨衣|新井里美|中村悠一]
四月是你的谎言,9.8,83000,[漫画改|催泪|恋爱|少女],[花江夏树|种田梨沙|佐仓绫音|逢坂良太|能登麻美子|梶裕贵|早见沙织|园崎未惠]
某科学的超电磁炮T,9.8,128000,[漫画改|战斗|科幻|校园],[佐藤利奈|伊藤加奈惠|丰崎爱生|新井里美|浅仓杏美]
名侦探柯南：零的执行人,7.9,735,[动画|悬疑],[高山南|山崎和佳奈|小山力也|山口胜平|林原惠美|绪方贤一|岩居由希子|高木涉|大谷育江|松井菜樱子|高岛雅罗|百百麻子|岸野幸正|飞田展男|茶风林|井上和彦|汤屋敦子|千叶一伸|富永美伊奈|川岛得爱|浦山迅|中友子|私市淳|志村知幸|鸟海胜美|冈村明美|西前忠久|利根健太朗|庄司宇芽香|川原庆久|上户彩|古谷彻]
名侦探柯南：万圣节的新娘,8.9,3854,[动画|悬疑|动作],[高山南|山崎和佳奈|小山力也|高木涉|汤屋敦子|古谷彻]
中二病也要谈恋爱！,9.8,49000,[校园|恋爱|搞笑|小说改],[福山润|内田真礼|赤﨑千夏|浅仓杏美|上坂堇|天野由梨|福原香织|设乐麻美|保志总一朗]
某科学的超电磁炮,9.7,60000,[校园|战斗|奇幻|漫画改],[佐藤利奈|新井里美|豊崎愛生|伊藤加奈惠|花澤香菜|寿美菜子|戸松遥|南條愛乃|田中敦子]
紫罗兰永恒花园外传：永远与自动手记人偶,9.9,101000,[剧情|动画|小说改],[石川由依|茅原实里|远藤绫|寿美菜子|子安武人|户松遥|内山昂辉|悠木碧]
JOJO的奇妙冒险,9.8,91000,[漫画改|战斗|奇幻|冒险],[兴津和幸|子安武人|盐屋翼|上田耀司|川澄绫子|杉田智和|佐藤拓也|上田耀司|田中敦子|伊丸冈笃|林勇|飞田展男|川澄绫子|松田健一郎|乃村健次|藤原启治|井上和彦]
转生成蜘蛛又怎样！,7.9,132000,[奇幻|穿越|冒险|励志],[悠木碧|堀江瞬|东山奈央|石川界人|小仓唯|喜多村英梨|奥野香耶|田中爱美|榎木淳弥]
在下坂本，有何贵干？,9.4,43000,[搞笑|校园|日常],[绿川光|森久保祥太郎|石田彰|堀江由衣|游佐浩二|鲸（松本和香子）|中原麻衣|岩田光央|桧山修之]
Charlotte,9.5,75000,[日常|校园|奇幻|催泪],[内山昂辉|佐仓绫音|水岛大宙|内田真礼|内田真礼|麻仓桃|中原麻衣|民安ともえ|间岛淳司]
徒然喜欢你,9.7,55000,[恋爱|校园|漫画改|搞笑],[石川界人|水濑祈|前野智昭|小仓唯|小野贤章|佐仓绫音|熊谷健太郎|三宅晴佳|花泽香菜|天崎滉平|户松遥|浪川大辅|小野大辅|内田真礼]
刀剑神域 爱丽丝篇 异界战争 -终章-,4.8,314000,[小说改|穿越|架空|科幻],[松冈祯丞|户松遥|茅野爱衣|泽城美雪|日高里菜|竹达彩奈|伊藤加奈惠]
盾之勇者成名录 第三季,7.2,1609,[小说改|战斗|奇幻|穿越],[石川界人|濑户麻沙美|日高里菜|原奈津子|松冈祯丞|高桥信|山谷祥生|内田真礼|青木瑠璃子|井上喜久子|布莱德库特·莎拉·惠美|仲野裕|小清水亚美|天崎滉平|小原好美|长绳麻理亚]
我的青春恋爱物语果然有问题。完,8.9,102000,[校园|恋爱|小说改],[江口拓也|早见沙织|东山奈央|佐仓绫音|悠木碧|小松未可子|近藤隆|桧山修之|柚木凉香|中原麻衣|井上麻里奈|佐佐木望|小清水亚美|堀井茶渡]
约会大作战 第四季,9.8,52000,[小说改|奇幻|战斗|萌系],[岛崎信长|井上麻里奈|富樫美铃|竹达彩奈|野水伊织|真田麻美|内田真礼|布里德卡特·塞拉·惠美|茅原实里|真野步|生天目仁美|影山灯]
盾之勇者成名录 第二季,6.1,41000,[架空|小说改|穿越|奇幻],[石川界人|濑户麻沙美|日高里菜|松冈祯丞|高桥信|山谷祥生|原奈津子|内田真礼|井上喜久子|花泽香菜]
总之就是非常可爱,9.5,103000,[日常|恋爱|漫画改],[鬼头明里|榎木淳弥|芹泽优|上坂堇|小原好美]
OVERLORD Ⅲ,9.4,94000,[架空|小说改|智斗|奇幻],[日野聪|原由实|上坂堇|加藤英美里|内山夕实|加藤将之|三宅健太|千叶繁|东山奈央|五十岚裕美|小松未可子|沼仓爱美|濑户麻沙美|佐仓绫音|真堂圭|东地宏树|楠见尚己|雨宫天|石井康嗣|安野希世乃|逢坂良太|白熊宽嗣|游佐浩二|小清水亚美|齐藤贵美子|花守由美里|石上静香|富田美忧|嶋村侑|樱井孝宏|土师孝也]
夏目友人帐 唤石者与怪异的访客,9.9,18000,[漫画改|奇幻|治愈],[神谷浩史|猫咪老师|/|井上和彦|堀江一真|黑田崇矢|冈村明美|长|松山鹰志|下崎紘史|金元寿子|？？？]
OVERLORD Ⅱ,9.6,81000,[小说改|奇幻|战斗|魔法],[日野聪|原由实|上坂堇|加藤英美里|内山夕实|加藤将之|三宅健太|千叶繁|沼仓爱美]
总之就是非常可爱 第二季,9.5,3533,[漫画改|搞笑|治愈|奇幻],[鬼头明里|榎木淳弥|芹泽优|上坂堇|小原好美|大和田仁美|长久友纪|兴津和幸|三上枝织|久野美咲|平野文]
Angels of Death,9.6,67000,[恋爱|游戏改|冒险],[冈本信彦|千菅春香|樱井孝宏|藤原夏海|伊濑茉莉也|大冢芳忠]
虚构推理,9.2,74000,[漫画改|神魔|恋爱|奇幻],[鬼头明里|宫野真守|福圆美里|上坂堇|滨田贤二|佐古真弓|下山吉光|下山吉光|狛犬（白|/|本山かおり|/|塙真奈美|后藤弘树|下山吉光|宫田幸季|前田玲奈|本山かおり|/|前田玲奈|本山かおり|/|塙真奈美|飞田展男|大南悠]
命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂,4.2,1704,[游戏改|战斗|奇幻|热血],[宫野真守|岛崎信长|高桥李依|坂本真绫|川澄绫子|水岛大宙|泽城美雪|置鲇龙太郎|内山昂辉|安元洋贵|子安武人|田中美海|小松未可子|鹤冈聪|稻田彻|千本木彩花|铃村健一]
虚构推理 第二季,9.6,6179,[漫画改|奇幻|恋爱|神魔],[鬼头明里|宫野真守|悠木碧|古川慎]
路人超能100 III(灵能百分百 第三季),9.9,49000,[漫画改|奇幻|热血|战斗],[伊藤节生|樱井孝宏|大冢明夫|入野自由|松冈祯丞|星野贵纪|种崎敦美|佐武宇绮|岛村侑|关俊彦|细谷佳正]
命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂,9.8,2086,[游戏改|奇幻|战斗|热血],[宫野真守|岛崎信长|高桥李依|坂本真绫|川澄绫子|水岛大宙|泽城美雪|置鲇龙太郎|内山昂辉|安元洋贵|子安武人|田中美海|小松未可子|稻田彻|千本木彩花|铃村健一]
干物妹！小埋,9.3,28000,[萌系|日常],[田中爱美|野岛健儿|影山灯|古川由利奈|白石晴香|安元洋贵|柿原彻也|小清水亚美]
JOJO的奇妙冒险 黄金之风,9.8,264000,[冒险|漫画改|战斗|智斗],[小野贤章|中村悠一|榎木淳弥|山下大辉|鸟海浩辅|诹访部顺一]
我们仍未知道那天所看见的花的名字。,9.6,52000,[催泪|原创|日常|治愈],[茅野爱衣|入野自由|户松遥|樱井孝宏|早见沙织|近藤孝行]
碧蓝之海,9.9,145000,[社团|漫画改|搞笑|运动],[内田雄马|木村良平|安元洋贵|小西克幸|安济知佳|内田真礼|行成桃姬|阿澄佳奈]
青春猪头少年不会梦到怀梦美少女,9.8,141000,[小说改|穿越|奇幻|校园],[石川界人|濑户麻沙美|水濑祈|东山奈央|种崎敦美|内田真礼|久保由利香]
我的青春恋爱物语果然有问题。,9.7,54000,[恋爱|小说改|日常|校园],[江口拓也|早见沙织|东山奈央|小松未可子|材木坐义辉|桧山修之|悠木碧|柚木凉香|中原麻衣|近藤隆|井上麻里奈]
这个勇者明明超强却过分慎重,9.7,137000,[冒险|架空|小说改|穿越],[梅原裕一郎|丰崎爱生|河西健吾|古贺葵|山村响]
世界顶尖的暗杀者 转生为异世界贵族,9.2,80000,[小说改|穿越|战斗],[赤羽根健治|上田丽奈|高田忧希|下地紫野]
命运-冠位指定 冠位时间神殿所罗门,8.6,15000,[游戏改|战斗|奇幻],[岛崎信长|高桥李依|川澄绫子|铃村健一|坂本真绫|杉田智和]
盾之勇者成名录,7.4,275000,[小说改|奇幻|魔法|架空],[石川界人|濑户麻沙美|日高里菜|松冈祯丞|高桥信|山谷祥生|内田真礼]
刀剑神域 爱丽丝篇 异界战争,9.1,56000,[小说改|穿越|科幻|架空],[松冈祯丞|户松遥|茅野爱衣]
岸边露伴 一动也不动,9.8,22000,[漫画改|奇幻|战斗],[樱井孝宏|中原麻衣|水桥香织|种崎敦美|间岛淳司|茂木孝允|梶裕贵|高木涉|鹤冈聪|森久保祥太郎|加濑康之|拜真之介|益山武明|高田忧希|内山昂辉|赤崎千夏|竹内良太|寺依沙织|村上聪|高桥广树|樫井笙人|木野日菜|野坂尚也|奥村翔|梶裕贵|高木涉|能登麻美子]
NO GAME NO LIFE 游戏人生,9.8,84000,[奇幻|智斗|架空|穿越],[松岡禎丞|茅野愛衣|日笠陽子|田村ゆかり|井口裕香|能登麻美子|釘宮理恵|沢城みゆき]
Fate/stay night [Unlimited Blade Works] 第一季,9.5,27000,[奇幻|热血],[杉山纪彰|植田佳奈|下屋则子|中田让治|关智一]
异度侵入 ID:INVADED,9.8,305000,[原创|科幻|推理],[津田健次郎|细谷佳正|竹内良太|M・A・O|布里德卡特·塞拉·惠美|村治学|近藤隆|岩濑周平|榎木淳弥|加藤涉|落合福嗣|西凛太朗]
干物妹！小埋R,9.5,42000,[萌系|搞笑|日常|漫画改],[田中爱美|野岛健儿|影山灯|白石晴香|古川由利奈|安元洋贵|柿原彻也|小清水亚美]
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,9.5,145000,[游戏改|穿越|奇幻|战斗],[岛崎信长|高桥李依|川澄绫子|铃村健一|植田佳奈|关智一|小林优|樱井孝宏|浅川悠|早见沙织|坂本真绫|稲田彻|三木真一郎]
名侦探柯南,9.8,94000,[漫画改|推理|智斗|悬疑],[高山南|山口胜平|山崎和佳奈|神谷明、小山力也|绪方贤一|林原惠美|岩居由希子|大谷育江|高木涉|松井菜樱子|堀川亮|宫村优子|日高法子|置鲇龙太郎|古谷彻|古谷彻、伊濑茉莉也|田中秀幸|岛本须美|山口胜平]
致不灭的你,9.5,86000,[漫画改|冒险|催泪|奇幻],[川岛零士|引坂理绘|内田彩|斋贺光希|爱河里花子|津田健次郎]
五等分的新娘∬,9.7,37000,[漫画改|校园|恋爱],[松冈祯丞|花泽香菜|竹达彩奈|伊藤美来|佐仓绫音|水濑祈]
Re：从零开始的异世界生活 Memory Snow(雪之回忆),9.7,16000,[小说改|穿越|奇幻|日常],[小林裕介|高桥李依|内山夕实|水濑祈|村川梨衣|新井里美|子安武人]
Re：从零开始的异世界生活 冰结之绊,9.5,14000,[小说改|奇幻|战斗|冒险],[高桥李依|内山夕实]
夏日重现,9.8,89000,[漫画改|奇幻|战斗|推理],[花江夏树|永濑杏奈|白砂沙帆|日笠阳子|浦山迅|小野贤章|河濑茉希]
JOJO的奇妙冒险 星尘远征军,9.8,78000,[漫画改|奇幻|战斗|冒险],[小野大辅|平川大辅|小松史法|石冢运升|三宅健太|福圆美里|子安武人|长克巳|玄田哲章|山口胜平|㭴井笙人|川田绅司|千叶繁|木内秀信|雪野五月|岩崎征实|铃木玲子|岸尾大辅|坂卷学|男孩婴儿（Mannish|大谷育江|有本钦隆|久川绫|伊藤健太郎|保村真|熊井统子|松本保典|高垣彩阳|小野坂昌也|银河万丈|诹访部顺一|速水奖]
路人女主的养成方法,9.4,37000,[恋爱|小说改],[大地葉、松岡禎丞|大西沙織|茅野愛衣|安野希世乃|矢作紗友里|赤﨑千夏|柿原徹也|中原麻衣]
五等分的新娘,8.9,62000,[恋爱|校园|日常|漫画改],[松冈祯丞|花泽香菜|竹达彩奈|伊藤美来|佐仓绫音|水濑祈|高森奈津美|日野聪]
命运-冠位嘉年华,9.8,8708,[原创|日常|搞笑|奇幻],[关根明良|高桥李依|坂本真绫|神奈延年|绿川光|泽城美雪|水岛大宙|植田佳奈|田中美海|大久保瑠美|坂本真绫|大塚芳忠|川澄绫子|鹤冈聪|丹下樱|悠木碧|丹下樱|神奈延年|古川慎|神奈延年|斋藤千和|佐仓绫音|置鲇龙太郎|土师孝也|樱井孝宏|关智一|黑田崇矢|内山昂辉|野中蓝|门胁舞以|神奈延年|中井和哉|早见沙织|川澄绫子|田中敦子|神秘Alterego·Λ|早见沙织|内山昂辉|坂本真绫|金元寿子|斋藤千和|日野聪…]
Fate/Zero 第一季,9.6,27000,[时泪|奇幻|战斗|热血],[小山力也|川澄绫子|大原沙耶香|恒松步|中田让治|阿部彬名|速水奖|关智一|山崎功|..]
致不灭的你 第二季,9.4,2997,[漫画改|奇幻|战斗|冒险],[川岛零士|津田健次郎|楠木灯|斋贺光希|子安武人]
命运-冠位指定 -月光／失落之室-,9.5,2025,[游戏改|奇幻],[岛崎信长|高桥李依|米泽圆|铃村健一|杉田智和|堀江瞬|大井麻利衣|藤井隼|小林龙之|天海由梨奈]
多罗罗,9.4,80000,[热血|战斗|冒险|奇幻],[铃木扩树|铃木梨央|佐佐木睦|内田直哉|千叶翔也|中村千绘|麦人]
刀剑神域 Alicization,8.3,88000,[战斗|架空|小说改|冒险],[松冈祯丞|户松遥|茅野爱衣|岛崎信长|前田佳织里|近藤玲奈|石原夏织|小林沙苗|森川智之|岩濑周平|木岛隆一|潘惠美|村田太志|泽城美雪|逢坂良太|日高里菜|高垣彩阳]
JOJO的奇妙冒险 星尘远征军 埃及篇,9.8,77000,[漫画改|战斗|奇幻|冒险],[小野大辅|平川大辅|小松史法|石冢运升|三宅健太|福圆美里|子安武人|长克巳|玄田哲章|山口胜平|㭴井笙人|川田绅司|千叶繁|木内秀信|雪野五月|岩崎征实|铃木玲子|岸尾大辅|坂卷学|男孩婴儿（Mannish|大谷育江|有本钦隆|久川绫|伊藤健太郎|保村真|熊井统子|松本保典|高垣彩阳|小野坂昌也|银河万丈|诹访部顺一|速水奖]
境界的彼方,9.5,28000,[恋爱|奇幻|战斗],[种田梨沙|KENN|茅原实里|铃木达央|山冈百合|进藤尚美|渡边明乃|丰田萌绘|矢作纱友里|松风雅也]
魔女之旅,9.7,97000,[小说改|魔法|奇幻|架空],[本渡枫|花泽香菜|黑泽朋世|日笠阳子]
命运之夜——天之杯Ⅲ：春之歌,9.8,4005,[游戏改|战斗|奇幻|热血],[杉山纪彰|下屋则子|川澄绫子|植田佳奈|门胁舞以|伊藤美纪|中田让治|津嘉山正种|浅川悠|稻田彻]
约战狂三外传,9.6,19000,[小说改|战斗|校园],[真田麻美|大西沙织|本渡枫|伊濑茉莉也|日高里菜|濑戸麻沙美|藤原夏海]
月刊少女野崎君,9.8,62000,[漫画改|搞笑|校园|恋爱],[小澤亜李|中村悠一|中原麻衣|小野友樹|木村良平|泽城美雪|岡本信彦|三宅健太|小野大輔]
Ｄｒ．ＳＴＯＮＥ 石纪元 (第三季),9.8,4883,[漫画改|科幻|冒险|励志],[小林裕介|铃木崚汰|古川慎|市濑加那|沼仓爱美|佐藤元|前野智昭|村濑步|上田丽奈|高桥花林|河西健吾|麦人|小野贤章|中岛良树|种崎敦美|间宫康弘|日笠阳子|石见舞菜香]
名侦探柯南：犯人犯泽先生,9.7,927,[漫画改|日常|治愈|搞笑],[犯泽先生:苍井翔太|旁白:大地丙太郎|石田彰|篠原惠美|堀内贤雄|稻叶实|浦和惠]
CLANNAD,9.9,80000,[时泪|校园|治愈|催泪],[中村悠一|阪口大助|能登麻美子|野中蓝|中原麻衣|广桥凉|桑岛法子|神田朱未|井上喜久子|置鲇龙太郎]
Fate/Apocrypha,6.0,124000,[热血|战斗|奇幻],[花江夏樹|坂本真綾|乃村健次|沢城みゆき|内山昂輝|真堂圭|早見沙織|遊佐浩二|古川慎]
葬送的芙莉莲,9.9,55000,[漫画改|奇幻|治愈|冒险],[种崎敦美|市之濑加那|小林千晃|冈本信彦|东地宏树|上田燿司]
